"AmberWarningLamp","BatteryLevel","ClassCode","ControllerId","ControllerName","Count","DateTime","DeviceId","DiagnosticCode","DiagnosticId","DiagnosticName","DiagnosticSourceId","DiagnosticSourceName","DiagnosticUnitOfMeasure","DiagnosticUnitOfMeasureName","DismissDateTime","DismissUserId","EntityStatus","FailureModeCode","FailureModeId","FailureModeName","FaultLampState","FaultState","Geotabld","Latitude","Longitude","MalfunctionLamp","numerictime","numerictime1","OBD2DTC","ProtectWarningLamp","RecordLastChangedUtc","RedStopLamp","Severity","SourceAddress","Speed","StmTime","Temperature"
"False",76.72,"NULL","ControllerGoDeviceId","Telematics device",1,"2021-08-19 10:43:27.55","b14",2118,"DiagnosticCanBusExcessiveListenId","Generic state of charge","SourceGeotabGoId","**Go","UnitOfMeasurePercentageId","%","NULL","NoUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","Active","DiagnosticStateOfChargeId",42.3399429,-83.5080414,"False",1629369807.55,1629369600,"NULL","False","2021-06-18 21:50:59.070679","False","NULL","NULL",76,2021-08-19 10:43:27,80.1943588349968
"False",67.19,"NULL","ControllerGoDeviceId","Telematics device",1,"2021-08-19 10:43:27.55","b14",2118,"DiagnosticCanBusExcessiveListenId","Generic state of charge","SourceGeotabGoId","**Go","UnitOfMeasurePercentageId","%","NULL","NoUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","Active","DiagnosticStateOfChargeId",42.3521271,-83.5082779,"False",1629369807.55,1629369600,"NULL","False","2021-06-18 21:50:59.070679","False","NULL","NULL",48,2021-08-19 10:43:27,78.8711025146767
"False",76.72,"NULL","ControllerGoDeviceId","Telematics device",1,"2021-08-19 10:43:27.55","b14",2118,"DiagnosticCanBusExcessiveListenId","Generic state of charge","SourceGeotabGoId","**Go","UnitOfMeasurePercentageId","%","NULL","NoUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","Active","DiagnosticStateOfChargeId",42.3364105,-83.5079651,"False",1629369807.55,1629369600,"NULL","False","2021-06-18 21:50:59.070679","False","NULL","NULL",55,2021-08-19 10:43:27,72.6222087768838
"False",76.72,"NULL","ControllerGoDeviceId","Telematics device",1,"2021-08-19 10:43:27.55","b14",2118,"DiagnosticCanBusExcessiveListenId","Generic state of charge","SourceGeotabGoId","**Go","UnitOfMeasurePercentageId","%","NULL","NoUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","Active","DiagnosticStateOfChargeId",42.3378677,-83.5079956,"False",1629369807.55,1629369600,"NULL","False","2021-06-18 21:50:59.070679","False","NULL","NULL",74,2021-08-19 10:43:27,65.7467996375635
"False",68.215,"NULL","ControllerGoDeviceId","Telematics device",1,"2021-08-19 10:43:27.55","b14",2118,"DiagnosticCanBusExcessiveListenId","Generic state of charge","SourceGeotabGoId","**Go","UnitOfMeasurePercentageId","%","NULL","NoUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","Active","DiagnosticStateOfChargeId",42.3498993,-83.5082016,"False",1629369807.55,1629369600,"NULL","False","2021-06-18 21:50:59.070679","False","NULL","NULL",0,2021-08-19 10:43:27,83.9456439437345
"False",67.19,"NULL","ControllerGoDeviceId","Telematics device",1,"2021-08-19 10:43:27.55","b14",2118,"DiagnosticCanBusExcessiveListenId","Generic state of charge","SourceGeotabGoId","**Go","UnitOfMeasurePercentageId","%","NULL","NoUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","Active","DiagnosticStateOfChargeId",42.3554802,-83.5084534,"False",1629369807.55,1629369600,"NULL","False","2021-06-18 21:50:59.070679","False","NULL","NULL",61,2021-08-19 10:43:27,83.4500865405425
"False",68.215,"NULL","ControllerGoDeviceId","Telematics device",1,"2021-08-19 10:43:27.55","b14",2118,"DiagnosticCanBusExcessiveListenId","Generic state of charge","SourceGeotabGoId","**Go","UnitOfMeasurePercentageId","%","NULL","NoUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","Active","DiagnosticStateOfChargeId",42.3484688,-83.5082016,"False",1629369807.55,1629369600,"NULL","False","2021-06-18 21:50:59.070679","False","NULL","NULL",53,2021-08-19 10:43:27,82.7652750583366
"False",68.215,"NULL","ControllerGoDeviceId","Telematics device",1,"2021-08-19 10:43:27.55","b14",2118,"DiagnosticCanBusExcessiveListenId","Generic state of charge","SourceGeotabGoId","**Go","UnitOfMeasurePercentageId","%","NULL","NoUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","Active","DiagnosticStateOfChargeId",42.3492851,-83.5082016,"False",1629369807.55,1629369600,"NULL","False","2021-06-18 21:50:59.070679","False","NULL","NULL",41,2021-08-19 10:43:27,79.4189032074064
"False",68.215,"NULL","ControllerGoDeviceId","Telematics device",1,"2021-08-19 10:43:27.55","b14",2118,"DiagnosticCanBusExcessiveListenId","Generic state of charge","SourceGeotabGoId","**Go","UnitOfMeasurePercentageId","%","NULL","NoUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","Active","DiagnosticStateOfChargeId",42.3651314,-83.5089188,"False",1629369807.55,1629369600,"NULL","False","2021-06-18 21:50:59.070679","False","NULL","NULL",68,2021-08-19 10:43:27,70.7113745249808
"False",68.215,"NULL","ControllerGoDeviceId","Telematics device",1,"2021-08-19 10:43:27.55","b14",2118,"DiagnosticCanBusExcessiveListenId","Generic state of charge","SourceGeotabGoId","**Go","UnitOfMeasurePercentageId","%","NULL","NoUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","Active","DiagnosticStateOfChargeId",42.3364105,-83.5079651,"False",1629369807.55,1629369600,"NULL","False","2021-06-18 21:50:59.070679","False","NULL","NULL",55,2021-08-19 10:43:27,81.8021576059982
