"AmberWarningLamp","BatteryLevel","ClassCode","ControllerId","ControllerName","Count","DateTime","DeviceId","DiagnosticCode","DiagnosticId","DiagnosticName","DiagnosticSourceId","DiagnosticSourceName","DiagnosticUnitOfMeasure","DiagnosticUnitOfMeasureName","DismissDateTime","DismissUserId","EntityStatus","FailureModeCode","FailureModeId","FailureModeName","FaultLampState","FaultState","Geotabld","Latitude","Longitude","MalfunctionLamp","numerictime","numerictime1","OBD2DTC","ProtectWarningLamp","RecordLastChangedUtc","RedStopLamp","Severity","SourceAddress","Speed","StmTime","Temperature","fivemintimeStart","fivemintimeEnd"
FALSE,66.6246796492487,"ClassCode","ControllerId","ControllerName",1,"2020-08-20 00:00:00","bA",1,"DiagnosticId","DiagnosticName","DiagnosticSourceId","DiagnosticSourceName","UnitOfMeasure","UnitOfMeasureName","NULL","DissmissUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","FaultState","GeotabId",-86.1370687014511,39.4795200936603,"MalfunctionLamp",1597881600,1597881600,"OBD2DTC","ProtectWarningLamp","2020-08-20 00:00:00","RedStopLamp","NULL","NULL",58,"2020-08-20 00:00:00",74.8015310894698,1597881600,1597881900
FALSE,63.0729358643293,"ClassCode","ControllerId","ControllerName",1,"2020-08-20 00:30:00","bA",2,"DiagnosticId","DiagnosticName","DiagnosticSourceId","DiagnosticSourceName","UnitOfMeasure","UnitOfMeasureName","NULL","DissmissUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","FaultState","GeotabId",-86.1402682738129,39.47854420354,"MalfunctionLamp",1597883400,1597883400,"OBD2DTC","ProtectWarningLamp","2020-08-20 00:30:00","RedStopLamp","NULL","NULL",68,"2020-08-20 00:30:00",70.0865094689652,1597883400,1597883700
FALSE,90.0138647295535,"ClassCode","ControllerId","ControllerName",1,"2020-08-20 01:00:00","bA",3,"DiagnosticId","DiagnosticName","DiagnosticSourceId","DiagnosticSourceName","UnitOfMeasure","UnitOfMeasureName","NULL","DissmissUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","FaultState","GeotabId",-86.1410796422574,39.4726075968025,"MalfunctionLamp",1597885200,1597885200,"OBD2DTC","ProtectWarningLamp","2020-08-20 01:00:00","RedStopLamp","NULL","NULL",8,"2020-08-20 01:00:00",73.1706954492256,1597885200,1597885500
FALSE,85.1366457063705,"ClassCode","ControllerId","ControllerName",1,"2020-08-20 01:30:00","bA",4,"DiagnosticId","DiagnosticName","DiagnosticSourceId","DiagnosticSourceName","UnitOfMeasure","UnitOfMeasureName","NULL","DissmissUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","FaultState","GeotabId",-86.1402538565803,39.4723157932355,"MalfunctionLamp",1597887000,1597887000,"OBD2DTC","ProtectWarningLamp","2020-08-20 01:30:00","RedStopLamp","NULL","NULL",31,"2020-08-20 01:30:00",79.4308876851574,1597887000,1597887300
FALSE,28.5767442546785,"ClassCode","ControllerId","ControllerName",1,"2020-08-20 02:00:00","bA",5,"DiagnosticId","DiagnosticName","DiagnosticSourceId","DiagnosticSourceName","UnitOfMeasure","UnitOfMeasureName","NULL","DissmissUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","FaultState","GeotabId",-86.1406075151878,39.4738151491532,"MalfunctionLamp",1597888800,1597888800,"OBD2DTC","ProtectWarningLamp","2020-08-20 02:00:00","RedStopLamp","NULL","NULL",25,"2020-08-20 02:00:00",77.453871415928,1597888800,1597889100
FALSE,34.7431127214804,"ClassCode","ControllerId","ControllerName",1,"2020-08-20 02:30:00","bA",6,"DiagnosticId","DiagnosticName","DiagnosticSourceId","DiagnosticSourceName","UnitOfMeasure","UnitOfMeasureName","NULL","DissmissUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","FaultState","GeotabId",-86.1401864995494,39.4744556323661,"MalfunctionLamp",1597890600,1597890600,"OBD2DTC","ProtectWarningLamp","2020-08-20 02:30:00","RedStopLamp","NULL","NULL",56,"2020-08-20 02:30:00",67.9744943929836,1597890600,1597890900
FALSE,23.1546632247046,"ClassCode","ControllerId","ControllerName",1,"2020-08-20 03:00:00","bA",7,"DiagnosticId","DiagnosticName","DiagnosticSourceId","DiagnosticSourceName","UnitOfMeasure","UnitOfMeasureName","NULL","DissmissUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","FaultState","GeotabId",-86.1392719701196,39.473871400495,"MalfunctionLamp",1597892400,1597892400,"OBD2DTC","ProtectWarningLamp","2020-08-20 03:00:00","RedStopLamp","NULL","NULL",51,"2020-08-20 03:00:00",82.730324473232,1597892400,1597892700
FALSE,5.66540418658406,"ClassCode","ControllerId","ControllerName",1,"2020-08-20 03:30:00","bA",8,"DiagnosticId","DiagnosticName","DiagnosticSourceId","DiagnosticSourceName","UnitOfMeasure","UnitOfMeasureName","NULL","DissmissUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","FaultState","GeotabId",-86.1409694449814,39.480239329872,"MalfunctionLamp",1597894200,1597894200,"OBD2DTC","ProtectWarningLamp","2020-08-20 03:30:00","RedStopLamp","NULL","NULL",52,"2020-08-20 03:30:00",74.7079774644226,1597894200,1597894500
FALSE,45.1304018497467,"ClassCode","ControllerId","ControllerName",1,"2020-08-20 04:00:00","bA",9,"DiagnosticId","DiagnosticName","DiagnosticSourceId","DiagnosticSourceName","UnitOfMeasure","UnitOfMeasureName","NULL","DissmissUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","FaultState","GeotabId",-86.1375734295984,39.4794780269834,"MalfunctionLamp",1597896000,1597896000,"OBD2DTC","ProtectWarningLamp","2020-08-20 04:00:00","RedStopLamp","NULL","NULL",34,"2020-08-20 04:00:00",84.5885517355055,1597896000,1597896300
FALSE,34.4176924554631,"ClassCode","ControllerId","ControllerName",1,"2020-08-20 04:30:00","bA",10,"DiagnosticId","DiagnosticName","DiagnosticSourceId","DiagnosticSourceName","UnitOfMeasure","UnitOfMeasureName","NULL","DissmissUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","FaultState","GeotabId",-86.135873653519,39.4741248216381,"MalfunctionLamp",1597897800,1597897800,"OBD2DTC","ProtectWarningLamp","2020-08-20 04:30:00","RedStopLamp","NULL","NULL",52,"2020-08-20 04:30:00",72.1240084525198,1597897800,1597898100
FALSE,59.6802098210901,"ClassCode","ControllerId","ControllerName",1,"2020-08-20 05:00:00","bA",11,"DiagnosticId","DiagnosticName","DiagnosticSourceId","DiagnosticSourceName","UnitOfMeasure","UnitOfMeasureName","NULL","DissmissUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","FaultState","GeotabId",-86.1370389928313,39.4745310670425,"MalfunctionLamp",1597899600,1597899600,"OBD2DTC","ProtectWarningLamp","2020-08-20 05:00:00","RedStopLamp","NULL","NULL",30,"2020-08-20 05:00:00",75.6897426489741,1597899600,1597899900
