"AmberWarningLamp","BatteryLevel","ClassCode","ControllerId","ControllerName","Count","DateTime","DeviceId","DiagnosticCode","DiagnosticId","DiagnosticName","DiagnosticSourceId","DiagnosticSourceName","DiagnosticUnitOfMeasure","DiagnosticUnitOfMeasureName","DismissDateTime","DismissUserId","EntityStatus","FailureModeCode","FailureModeId","FailureModeName","FaultLampState","FaultState","Geotabld","Latitude","Longitude","MalfunctionLamp","numerictime","numerictime1","OBD2DTC","ProtectWarningLamp","RecordLastChangedUtc","RedStopLamp","Severity","SourceAddress","Speed","StmTime","Temperature","fivemintimeStart","fivemintimeEnd"
FALSE,79.5034691691399,"ClassCode","ControllerId","ControllerName",1,"2020-08-20 00:00:00","bC",1,"DiagnosticId","DiagnosticName","DiagnosticSourceId","DiagnosticSourceName","UnitOfMeasure","UnitOfMeasureName","NULL","DissmissUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","FaultState","GeotabId",-86.1364294046947,39.4784122175346,"MalfunctionLamp",1597881600,1597881600,"OBD2DTC","ProtectWarningLamp","2020-08-20 00:00:00","RedStopLamp","NULL","NULL",30,"2020-08-20 00:00:00",65.9215498110279,1597881600,1597881900
FALSE,9.6273529343307,"ClassCode","ControllerId","ControllerName",1,"2020-08-20 00:30:00","bC",2,"DiagnosticId","DiagnosticName","DiagnosticSourceId","DiagnosticSourceName","UnitOfMeasure","UnitOfMeasureName","NULL","DissmissUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","FaultState","GeotabId",-86.1363288307659,39.4723412752402,"MalfunctionLamp",1597883400,1597883400,"OBD2DTC","ProtectWarningLamp","2020-08-20 00:30:00","RedStopLamp","NULL","NULL",37,"2020-08-20 00:30:00",65.915847606957,1597883400,1597883700
FALSE,61.2970872782171,"ClassCode","ControllerId","ControllerName",1,"2020-08-20 01:00:00","bC",3,"DiagnosticId","DiagnosticName","DiagnosticSourceId","DiagnosticSourceName","UnitOfMeasure","UnitOfMeasureName","NULL","DissmissUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","FaultState","GeotabId",-86.1388236877675,39.4773219157666,"MalfunctionLamp",1597885200,1597885200,"OBD2DTC","ProtectWarningLamp","2020-08-20 01:00:00","RedStopLamp","NULL","NULL",33,"2020-08-20 01:00:00",75.4323146957904,1597885200,1597885500
FALSE,30.5686024948955,"ClassCode","ControllerId","ControllerName",1,"2020-08-20 01:30:00","bC",4,"DiagnosticId","DiagnosticName","DiagnosticSourceId","DiagnosticSourceName","UnitOfMeasure","UnitOfMeasureName","NULL","DissmissUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","FaultState","GeotabId",-86.1354072723273,39.4762643183451,"MalfunctionLamp",1597887000,1597887000,"OBD2DTC","ProtectWarningLamp","2020-08-20 01:30:00","RedStopLamp","NULL","NULL",49,"2020-08-20 01:30:00",79.0409100148827,1597887000,1597887300
FALSE,2.7586234966293,"ClassCode","ControllerId","ControllerName",1,"2020-08-20 02:00:00","bC",5,"DiagnosticId","DiagnosticName","DiagnosticSourceId","DiagnosticSourceName","UnitOfMeasure","UnitOfMeasureName","NULL","DissmissUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","FaultState","GeotabId",-86.1407554872046,39.4765746804681,"MalfunctionLamp",1597888800,1597888800,"OBD2DTC","ProtectWarningLamp","2020-08-20 02:00:00","RedStopLamp","NULL","NULL",58,"2020-08-20 02:00:00",69.0669002430514,1597888800,1597889100
FALSE,73.0350496945903,"ClassCode","ControllerId","ControllerName",1,"2020-08-20 02:30:00","bC",6,"DiagnosticId","DiagnosticName","DiagnosticSourceId","DiagnosticSourceName","UnitOfMeasure","UnitOfMeasureName","NULL","DissmissUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","FaultState","GeotabId",-86.1356352567147,39.4783020733773,"MalfunctionLamp",1597890600,1597890600,"OBD2DTC","ProtectWarningLamp","2020-08-20 02:30:00","RedStopLamp","NULL","NULL",4,"2020-08-20 02:30:00",74.883808940649,1597890600,1597890900
FALSE,65.3351394459605,"ClassCode","ControllerId","ControllerName",1,"2020-08-20 03:00:00","bC",7,"DiagnosticId","DiagnosticName","DiagnosticSourceId","DiagnosticSourceName","UnitOfMeasure","UnitOfMeasureName","NULL","DissmissUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","FaultState","GeotabId",-86.1349304251137,39.4748106018671,"MalfunctionLamp",1597892400,1597892400,"OBD2DTC","ProtectWarningLamp","2020-08-20 03:00:00","RedStopLamp","NULL","NULL",44,"2020-08-20 03:00:00",83.2065580226481,1597892400,1597892700
FALSE,65.5945503152907,"ClassCode","ControllerId","ControllerName",1,"2020-08-20 03:30:00","bC",8,"DiagnosticId","DiagnosticName","DiagnosticSourceId","DiagnosticSourceName","UnitOfMeasure","UnitOfMeasureName","NULL","DissmissUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","FaultState","GeotabId",-86.1370191106069,39.4762572983964,"MalfunctionLamp",1597894200,1597894200,"OBD2DTC","ProtectWarningLamp","2020-08-20 03:30:00","RedStopLamp","NULL","NULL",45,"2020-08-20 03:30:00",76.9369376590475,1597894200,1597894500
FALSE,93.8597917091101,"ClassCode","ControllerId","ControllerName",1,"2020-08-20 04:00:00","bC",9,"DiagnosticId","DiagnosticName","DiagnosticSourceId","DiagnosticSourceName","UnitOfMeasure","UnitOfMeasureName","NULL","DissmissUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","FaultState","GeotabId",-86.1380970060237,39.4779996479783,"MalfunctionLamp",1597896000,1597896000,"OBD2DTC","ProtectWarningLamp","2020-08-20 04:00:00","RedStopLamp","NULL","NULL",34,"2020-08-20 04:00:00",80.2597204828635,1597896000,1597896300
FALSE,99.5393502293155,"ClassCode","ControllerId","ControllerName",1,"2020-08-20 04:30:00","bC",10,"DiagnosticId","DiagnosticName","DiagnosticSourceId","DiagnosticSourceName","UnitOfMeasure","UnitOfMeasureName","NULL","DissmissUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","FaultState","GeotabId",-86.1358715922749,39.4781684791576,"MalfunctionLamp",1597897800,1597897800,"OBD2DTC","ProtectWarningLamp","2020-08-20 04:30:00","RedStopLamp","NULL","NULL",30,"2020-08-20 04:30:00",79.6313894307241,1597897800,1597898100
FALSE,7.35287182033062,"ClassCode","ControllerId","ControllerName",1,"2020-08-20 05:00:00","bC",11,"DiagnosticId","DiagnosticName","DiagnosticSourceId","DiagnosticSourceName","UnitOfMeasure","UnitOfMeasureName","NULL","DissmissUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","FaultState","GeotabId",-86.1400210523373,39.4763135238918,"MalfunctionLamp",1597899600,1597899600,"OBD2DTC","ProtectWarningLamp","2020-08-20 05:00:00","RedStopLamp","NULL","NULL",16,"2020-08-20 05:00:00",76.5609206724912,1597899600,1597899900
FALSE,16.2140195956454,"ClassCode","ControllerId","ControllerName",1,"2020-08-20 05:30:00","bC",12,"DiagnosticId","DiagnosticName","DiagnosticSourceId","DiagnosticSourceName","UnitOfMeasure","UnitOfMeasureName","NULL","DissmissUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","FaultState","GeotabId",-86.1370374798998,39.4797333069786,"MalfunctionLamp",1597901400,1597901400,"OBD2DTC","ProtectWarningLamp","2020-08-20 05:30:00","RedStopLamp","NULL","NULL",30,"2020-08-20 05:30:00",77.8906342340633,1597901400,1597901700
FALSE,14.6855305181816,"ClassCode","ControllerId","ControllerName",1,"2020-08-20 06:00:00","bC",13,"DiagnosticId","DiagnosticName","DiagnosticSourceId","DiagnosticSourceName","UnitOfMeasure","UnitOfMeasureName","NULL","DissmissUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","FaultState","GeotabId",-86.1400009043064,39.4773276705898,"MalfunctionLamp",1597903200,1597903200,"OBD2DTC","ProtectWarningLamp","2020-08-20 06:00:00","RedStopLamp","NULL","NULL",67,"2020-08-20 06:00:00",74.8113397089764,1597903200,1597903500
FALSE,36.9068581145257,"ClassCode","ControllerId","ControllerName",1,"2020-08-20 06:30:00","bC",14,"DiagnosticId","DiagnosticName","DiagnosticSourceId","DiagnosticSourceName","UnitOfMeasure","UnitOfMeasureName","NULL","DissmissUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","FaultState","GeotabId",-86.1386977317868,39.479169479032,"MalfunctionLamp",1597905000,1597905000,"OBD2DTC","ProtectWarningLamp","2020-08-20 06:30:00","RedStopLamp","NULL","NULL",18,"2020-08-20 06:30:00",84.5639723306522,1597905000,1597905300
FALSE,4.4633895624429,"ClassCode","ControllerId","ControllerName",1,"2020-08-20 07:00:00","bC",15,"DiagnosticId","DiagnosticName","DiagnosticSourceId","DiagnosticSourceName","UnitOfMeasure","UnitOfMeasureName","NULL","DissmissUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","FaultState","GeotabId",-86.1363383136361,39.479498581981,"MalfunctionLamp",1597906800,1597906800,"OBD2DTC","ProtectWarningLamp","2020-08-20 07:00:00","RedStopLamp","NULL","NULL",9,"2020-08-20 07:00:00",68.1458370620385,1597906800,1597907100
FALSE,97.0610805321485,"ClassCode","ControllerId","ControllerName",1,"2020-08-20 07:30:00","bC",16,"DiagnosticId","DiagnosticName","DiagnosticSourceId","DiagnosticSourceName","UnitOfMeasure","UnitOfMeasureName","NULL","DissmissUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","FaultState","GeotabId",-86.1384466584054,39.4737698736382,"MalfunctionLamp",1597908600,1597908600,"OBD2DTC","ProtectWarningLamp","2020-08-20 07:30:00","RedStopLamp","NULL","NULL",75,"2020-08-20 07:30:00",69.7419010614976,1597908600,1597908900
FALSE,17.0669327490032,"ClassCode","ControllerId","ControllerName",1,"2020-08-20 08:00:00","bC",17,"DiagnosticId","DiagnosticName","DiagnosticSourceId","DiagnosticSourceName","UnitOfMeasure","UnitOfMeasureName","NULL","DissmissUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","FaultState","GeotabId",-86.1383628950787,39.4796767173741,"MalfunctionLamp",1597910400,1597910400,"OBD2DTC","ProtectWarningLamp","2020-08-20 08:00:00","RedStopLamp","NULL","NULL",9,"2020-08-20 08:00:00",68.7753213662654,1597910400,1597910700
FALSE,16.3909275317565,"ClassCode","ControllerId","ControllerName",1,"2020-08-20 08:30:00","bC",18,"DiagnosticId","DiagnosticName","DiagnosticSourceId","DiagnosticSourceName","UnitOfMeasure","UnitOfMeasureName","NULL","DissmissUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","FaultState","GeotabId",-86.1351529633232,39.4749121791756,"MalfunctionLamp",1597912200,1597912200,"OBD2DTC","ProtectWarningLamp","2020-08-20 08:30:00","RedStopLamp","NULL","NULL",47,"2020-08-20 08:30:00",79.0268242079765,1597912200,1597912500
FALSE,62.7184005919844,"ClassCode","ControllerId","ControllerName",1,"2020-08-20 09:00:00","bC",19,"DiagnosticId","DiagnosticName","DiagnosticSourceId","DiagnosticSourceName","UnitOfMeasure","UnitOfMeasureName","NULL","DissmissUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","FaultState","GeotabId",-86.1349585742442,39.4792527549747,"MalfunctionLamp",1597914000,1597914000,"OBD2DTC","ProtectWarningLamp","2020-08-20 09:00:00","RedStopLamp","NULL","NULL",66,"2020-08-20 09:00:00",66.8216733355075,1597914000,1597914300
FALSE,66.0777854267508,"ClassCode","ControllerId","ControllerName",1,"2020-08-20 09:30:00","bC",20,"DiagnosticId","DiagnosticName","DiagnosticSourceId","DiagnosticSourceName","UnitOfMeasure","UnitOfMeasureName","NULL","DissmissUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","FaultState","GeotabId",-86.1404577613153,39.4769694605296,"MalfunctionLamp",1597915800,1597915800,"OBD2DTC","ProtectWarningLamp","2020-08-20 09:30:00","RedStopLamp","NULL","NULL",1,"2020-08-20 09:30:00",78.2471845624968,1597915800,1597916100
FALSE,93.0828118463978,"ClassCode","ControllerId","ControllerName",1,"2020-08-20 10:00:00","bC",21,"DiagnosticId","DiagnosticName","DiagnosticSourceId","DiagnosticSourceName","UnitOfMeasure","UnitOfMeasureName","NULL","DissmissUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","FaultState","GeotabId",-86.1400976389013,39.4799526077236,"MalfunctionLamp",1597917600,1597917600,"OBD2DTC","ProtectWarningLamp","2020-08-20 10:00:00","RedStopLamp","NULL","NULL",45,"2020-08-20 10:00:00",75.9932627575472,1597917600,1597917900
FALSE,3.55842607095838,"ClassCode","ControllerId","ControllerName",1,"2020-08-20 10:30:00","bC",22,"DiagnosticId","DiagnosticName","DiagnosticSourceId","DiagnosticSourceName","UnitOfMeasure","UnitOfMeasureName","NULL","DissmissUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","FaultState","GeotabId",-86.1358155418214,39.4771204967622,"MalfunctionLamp",1597919400,1597919400,"OBD2DTC","ProtectWarningLamp","2020-08-20 10:30:00","RedStopLamp","NULL","NULL",15,"2020-08-20 10:30:00",71.8175353575498,1597919400,1597919700
FALSE,91.3066164357588,"ClassCode","ControllerId","ControllerName",1,"2020-08-20 11:00:00","bC",23,"DiagnosticId","DiagnosticName","DiagnosticSourceId","DiagnosticSourceName","UnitOfMeasure","UnitOfMeasureName","NULL","DissmissUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","FaultState","GeotabId",-86.1357755172958,39.4726638189906,"MalfunctionLamp",1597921200,1597921200,"OBD2DTC","ProtectWarningLamp","2020-08-20 11:00:00","RedStopLamp","NULL","NULL",18,"2020-08-20 11:00:00",82.7963173063472,1597921200,1597921500
FALSE,57.7751265605912,"ClassCode","ControllerId","ControllerName",1,"2020-08-20 11:30:00","bC",24,"DiagnosticId","DiagnosticName","DiagnosticSourceId","DiagnosticSourceName","UnitOfMeasure","UnitOfMeasureName","NULL","DissmissUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","FaultState","GeotabId",-86.1350394768393,39.4731192246622,"MalfunctionLamp",1597923000,1597923000,"OBD2DTC","ProtectWarningLamp","2020-08-20 11:30:00","RedStopLamp","NULL","NULL",74,"2020-08-20 11:30:00",65.6398518709466,1597923000,1597923300
FALSE,13.8619122793898,"ClassCode","ControllerId","ControllerName",1,"2020-08-20 12:00:00","bC",25,"DiagnosticId","DiagnosticName","DiagnosticSourceId","DiagnosticSourceName","UnitOfMeasure","UnitOfMeasureName","NULL","DissmissUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","FaultState","GeotabId",-86.1368048105496,39.4783893050613,"MalfunctionLamp",1597924800,1597924800,"OBD2DTC","ProtectWarningLamp","2020-08-20 12:00:00","RedStopLamp","NULL","NULL",40,"2020-08-20 12:00:00",65.1225582044572,1597924800,1597925100
FALSE,36.0469682374969,"ClassCode","ControllerId","ControllerName",1,"2020-08-20 12:30:00","bC",26,"DiagnosticId","DiagnosticName","DiagnosticSourceId","DiagnosticSourceName","UnitOfMeasure","UnitOfMeasureName","NULL","DissmissUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","FaultState","GeotabId",-86.1404450376399,39.4757701817647,"MalfunctionLamp",1597926600,1597926600,"OBD2DTC","ProtectWarningLamp","2020-08-20 12:30:00","RedStopLamp","NULL","NULL",36,"2020-08-20 12:30:00",70.442021144554,1597926600,1597926900
FALSE,89.6732379449531,"ClassCode","ControllerId","ControllerName",1,"2020-08-20 13:00:00","bC",27,"DiagnosticId","DiagnosticName","DiagnosticSourceId","DiagnosticSourceName","UnitOfMeasure","UnitOfMeasureName","NULL","DissmissUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","FaultState","GeotabId",-86.1365908432162,39.4742743296513,"MalfunctionLamp",1597928400,1597928400,"OBD2DTC","ProtectWarningLamp","2020-08-20 13:00:00","RedStopLamp","NULL","NULL",38,"2020-08-20 13:00:00",79.4648142205551,1597928400,1597928700
FALSE,87.2138587292284,"ClassCode","ControllerId","ControllerName",1,"2020-08-20 13:30:00","bC",28,"DiagnosticId","DiagnosticName","DiagnosticSourceId","DiagnosticSourceName","UnitOfMeasure","UnitOfMeasureName","NULL","DissmissUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","FaultState","GeotabId",-86.1377453896049,39.4719288171533,"MalfunctionLamp",1597930200,1597930200,"OBD2DTC","ProtectWarningLamp","2020-08-20 13:30:00","RedStopLamp","NULL","NULL",20,"2020-08-20 13:30:00",75.4810103122145,1597930200,1597930500
FALSE,46.5482087107375,"ClassCode","ControllerId","ControllerName",1,"2020-08-20 14:00:00","bC",29,"DiagnosticId","DiagnosticName","DiagnosticSourceId","DiagnosticSourceName","UnitOfMeasure","UnitOfMeasureName","NULL","DissmissUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","FaultState","GeotabId",-86.1411317817433,39.4717421161133,"MalfunctionLamp",1597932000,1597932000,"OBD2DTC","ProtectWarningLamp","2020-08-20 14:00:00","RedStopLamp","NULL","NULL",69,"2020-08-20 14:00:00",71.1315978178754,1597932000,1597932300
FALSE,51.7561986343935,"ClassCode","ControllerId","ControllerName",1,"2020-08-20 14:30:00","bC",30,"DiagnosticId","DiagnosticName","DiagnosticSourceId","DiagnosticSourceName","UnitOfMeasure","UnitOfMeasureName","NULL","DissmissUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","FaultState","GeotabId",-86.1402813186207,39.4722008147208,"MalfunctionLamp",1597933800,1597933800,"OBD2DTC","ProtectWarningLamp","2020-08-20 14:30:00","RedStopLamp","NULL","NULL",2,"2020-08-20 14:30:00",81.9620372261852,1597933800,1597934100
FALSE,22.3028650972992,"ClassCode","ControllerId","ControllerName",1,"2020-08-20 15:00:00","bC",31,"DiagnosticId","DiagnosticName","DiagnosticSourceId","DiagnosticSourceName","UnitOfMeasure","UnitOfMeasureName","NULL","DissmissUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","FaultState","GeotabId",-86.1383193118738,39.4762103727819,"MalfunctionLamp",1597935600,1597935600,"OBD2DTC","ProtectWarningLamp","2020-08-20 15:00:00","RedStopLamp","NULL","NULL",62,"2020-08-20 15:00:00",77.462445795536,1597935600,1597935900
FALSE,0.610760226845741,"ClassCode","ControllerId","ControllerName",1,"2020-08-20 15:30:00","bC",32,"DiagnosticId","DiagnosticName","DiagnosticSourceId","DiagnosticSourceName","UnitOfMeasure","UnitOfMeasureName","NULL","DissmissUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","FaultState","GeotabId",-86.1402258172352,39.473772790925,"MalfunctionLamp",1597937400,1597937400,"OBD2DTC","ProtectWarningLamp","2020-08-20 15:30:00","RedStopLamp","NULL","NULL",50,"2020-08-20 15:30:00",76.4237687643617,1597937400,1597937700
FALSE,99.8729731189087,"ClassCode","ControllerId","ControllerName",1,"2020-08-20 16:00:00","bC",33,"DiagnosticId","DiagnosticName","DiagnosticSourceId","DiagnosticSourceName","UnitOfMeasure","UnitOfMeasureName","NULL","DissmissUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","FaultState","GeotabId",-86.1393709802876,39.4718415351543,"MalfunctionLamp",1597939200,1597939200,"OBD2DTC","ProtectWarningLamp","2020-08-20 16:00:00","RedStopLamp","NULL","NULL",62,"2020-08-20 16:00:00",68.0072592245415,1597939200,1597939500
FALSE,24.0324465325102,"ClassCode","ControllerId","ControllerName",1,"2020-08-20 16:30:00","bC",34,"DiagnosticId","DiagnosticName","DiagnosticSourceId","DiagnosticSourceName","UnitOfMeasure","UnitOfMeasureName","NULL","DissmissUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","FaultState","GeotabId",-86.1419457283753,39.4732966760017,"MalfunctionLamp",1597941000,1597941000,"OBD2DTC","ProtectWarningLamp","2020-08-20 16:30:00","RedStopLamp","NULL","NULL",75,"2020-08-20 16:30:00",69.8658350715414,1597941000,1597941300
FALSE,49.7820724733174,"ClassCode","ControllerId","ControllerName",1,"2020-08-20 17:00:00","bC",35,"DiagnosticId","DiagnosticName","DiagnosticSourceId","DiagnosticSourceName","UnitOfMeasure","UnitOfMeasureName","NULL","DissmissUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","FaultState","GeotabId",-86.1356714327911,39.4792904648229,"MalfunctionLamp",1597942800,1597942800,"OBD2DTC","ProtectWarningLamp","2020-08-20 17:00:00","RedStopLamp","NULL","NULL",67,"2020-08-20 17:00:00",73.9740750053898,1597942800,1597943100
FALSE,77.1682234480977,"ClassCode","ControllerId","ControllerName",1,"2020-08-20 17:30:00","bC",36,"DiagnosticId","DiagnosticName","DiagnosticSourceId","DiagnosticSourceName","UnitOfMeasure","UnitOfMeasureName","NULL","DissmissUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","FaultState","GeotabId",-86.1378919247956,39.476439877984,"MalfunctionLamp",1597944600,1597944600,"OBD2DTC","ProtectWarningLamp","2020-08-20 17:30:00","RedStopLamp","NULL","NULL",40,"2020-08-20 17:30:00",75.2278786571696,1597944600,1597944900
FALSE,96.2488923687488,"ClassCode","ControllerId","ControllerName",1,"2020-08-20 18:00:00","bC",37,"DiagnosticId","DiagnosticName","DiagnosticSourceId","DiagnosticSourceName","UnitOfMeasure","UnitOfMeasureName","NULL","DissmissUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","FaultState","GeotabId",-86.1390159529086,39.4769620686514,"MalfunctionLamp",1597946400,1597946400,"OBD2DTC","ProtectWarningLamp","2020-08-20 18:00:00","RedStopLamp","NULL","NULL",21,"2020-08-20 18:00:00",68.1788536906242,1597946400,1597946700
FALSE,87.2068036114797,"ClassCode","ControllerId","ControllerName",1,"2020-08-20 18:30:00","bC",38,"DiagnosticId","DiagnosticName","DiagnosticSourceId","DiagnosticSourceName","UnitOfMeasure","UnitOfMeasureName","NULL","DissmissUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","FaultState","GeotabId",-86.1376072249548,39.4782751290614,"MalfunctionLamp",1597948200,1597948200,"OBD2DTC","ProtectWarningLamp","2020-08-20 18:30:00","RedStopLamp","NULL","NULL",10,"2020-08-20 18:30:00",67.0259787375107,1597948200,1597948500
FALSE,9.01058767922223,"ClassCode","ControllerId","ControllerName",1,"2020-08-20 19:00:00","bC",39,"DiagnosticId","DiagnosticName","DiagnosticSourceId","DiagnosticSourceName","UnitOfMeasure","UnitOfMeasureName","NULL","DissmissUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","FaultState","GeotabId",-86.1403976768888,39.4724246718301,"MalfunctionLamp",1597950000,1597950000,"OBD2DTC","ProtectWarningLamp","2020-08-20 19:00:00","RedStopLamp","NULL","NULL",36,"2020-08-20 19:00:00",71.8895461782813,1597950000,1597950300
FALSE,44.238333334215,"ClassCode","ControllerId","ControllerName",1,"2020-08-20 19:30:00","bC",40,"DiagnosticId","DiagnosticName","DiagnosticSourceId","DiagnosticSourceName","UnitOfMeasure","UnitOfMeasureName","NULL","DissmissUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","FaultState","GeotabId",-86.140350550251,39.4804962881879,"MalfunctionLamp",1597951800,1597951800,"OBD2DTC","ProtectWarningLamp","2020-08-20 19:30:00","RedStopLamp","NULL","NULL",58,"2020-08-20 19:30:00",81.2679588096216,1597951800,1597952100
FALSE,52.43901880458,"ClassCode","ControllerId","ControllerName",1,"2020-08-20 20:00:00","bC",41,"DiagnosticId","DiagnosticName","DiagnosticSourceId","DiagnosticSourceName","UnitOfMeasure","UnitOfMeasureName","NULL","DissmissUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","FaultState","GeotabId",-86.1405999119127,39.4779564406545,"MalfunctionLamp",1597953600,1597953600,"OBD2DTC","ProtectWarningLamp","2020-08-20 20:00:00","RedStopLamp","NULL","NULL",75,"2020-08-20 20:00:00",73.1337710516527,1597953600,1597953900
FALSE,64.5985801238567,"ClassCode","ControllerId","ControllerName",1,"2020-08-20 20:30:00","bC",42,"DiagnosticId","DiagnosticName","DiagnosticSourceId","DiagnosticSourceName","UnitOfMeasure","UnitOfMeasureName","NULL","DissmissUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","FaultState","GeotabId",-86.1369675502705,39.4724639105608,"MalfunctionLamp",1597955400,1597955400,"OBD2DTC","ProtectWarningLamp","2020-08-20 20:30:00","RedStopLamp","NULL","NULL",38,"2020-08-20 20:30:00",77.930610505864,1597955400,1597955700
FALSE,99.6782984351739,"ClassCode","ControllerId","ControllerName",1,"2020-08-20 21:00:00","bC",43,"DiagnosticId","DiagnosticName","DiagnosticSourceId","DiagnosticSourceName","UnitOfMeasure","UnitOfMeasureName","NULL","DissmissUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","FaultState","GeotabId",-86.1368126238822,39.4726742057364,"MalfunctionLamp",1597957200,1597957200,"OBD2DTC","ProtectWarningLamp","2020-08-20 21:00:00","RedStopLamp","NULL","NULL",47,"2020-08-20 21:00:00",83.4564144909382,1597957200,1597957500
FALSE,25.1960847293958,"ClassCode","ControllerId","ControllerName",1,"2020-08-20 21:30:00","bC",44,"DiagnosticId","DiagnosticName","DiagnosticSourceId","DiagnosticSourceName","UnitOfMeasure","UnitOfMeasureName","NULL","DissmissUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","FaultState","GeotabId",-86.1396469074206,39.4793891430447,"MalfunctionLamp",1597959000,1597959000,"OBD2DTC","ProtectWarningLamp","2020-08-20 21:30:00","RedStopLamp","NULL","NULL",72,"2020-08-20 21:30:00",73.5960926022381,1597959000,1597959300
FALSE,80.6966613745317,"ClassCode","ControllerId","ControllerName",1,"2020-08-20 22:00:00","bC",45,"DiagnosticId","DiagnosticName","DiagnosticSourceId","DiagnosticSourceName","UnitOfMeasure","UnitOfMeasureName","NULL","DissmissUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","FaultState","GeotabId",-86.1381832518086,39.4755627234209,"MalfunctionLamp",1597960800,1597960800,"OBD2DTC","ProtectWarningLamp","2020-08-20 22:00:00","RedStopLamp","NULL","NULL",71,"2020-08-20 22:00:00",70.2884358726442,1597960800,1597961100
FALSE,40.1243461295962,"ClassCode","ControllerId","ControllerName",1,"2020-08-20 22:30:00","bC",46,"DiagnosticId","DiagnosticName","DiagnosticSourceId","DiagnosticSourceName","UnitOfMeasure","UnitOfMeasureName","NULL","DissmissUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","FaultState","GeotabId",-86.1397864361787,39.4784488373245,"MalfunctionLamp",1597962600,1597962600,"OBD2DTC","ProtectWarningLamp","2020-08-20 22:30:00","RedStopLamp","NULL","NULL",43,"2020-08-20 22:30:00",80.7110185455531,1597962600,1597962900
