"AmberWarningLamp","BatteryLevel","ClassCode","ControllerId","ControllerName","Count","DateTime","DeviceId","DiagnosticCode","DiagnosticId","DiagnosticName","DiagnosticSourceId","DiagnosticSourceName","DiagnosticUnitOfMeasure","DiagnosticUnitOfMeasureName","DismissDateTime","DismissUserId","EntityStatus","FailureModeCode","FailureModeId","FailureModeName","FaultLampState","FaultState","Geotabld","Latitude","Longitude","MalfunctionLamp","numerictime","numerictime1","OBD2DTC","ProtectWarningLamp","RecordLastChangedUtc","RedStopLamp","Severity","SourceAddress","Speed","StmTime","Temperature","fivemintimeStart","fivemintimeEnd"
FALSE,34.5896300161257,"ClassCode","ControllerId","ControllerName",1,"2020-08-20 00:00:00","bF",1,"DiagnosticId","DiagnosticName","DiagnosticSourceId","DiagnosticSourceName","UnitOfMeasure","UnitOfMeasureName","NULL","DissmissUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","FaultState","GeotabId",-86.1371394481966,39.4721399666526,"MalfunctionLamp",1597881600,1597881600,"OBD2DTC","ProtectWarningLamp","2020-08-20 00:00:00","RedStopLamp","NULL","NULL",69,"2020-08-20 00:00:00",68.5442360397428,1597881600,1597881900
FALSE,90.2162803569809,"ClassCode","ControllerId","ControllerName",1,"2020-08-20 00:30:00","bF",2,"DiagnosticId","DiagnosticName","DiagnosticSourceId","DiagnosticSourceName","UnitOfMeasure","UnitOfMeasureName","NULL","DissmissUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","FaultState","GeotabId",-86.1355973385842,39.4803429190041,"MalfunctionLamp",1597883400,1597883400,"OBD2DTC","ProtectWarningLamp","2020-08-20 00:30:00","RedStopLamp","NULL","NULL",58,"2020-08-20 00:30:00",79.088049470447,1597883400,1597883700
FALSE,47.4537888541818,"ClassCode","ControllerId","ControllerName",1,"2020-08-20 01:00:00","bF",3,"DiagnosticId","DiagnosticName","DiagnosticSourceId","DiagnosticSourceName","UnitOfMeasure","UnitOfMeasureName","NULL","DissmissUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","FaultState","GeotabId",-86.1367856544484,39.4742955290657,"MalfunctionLamp",1597885200,1597885200,"OBD2DTC","ProtectWarningLamp","2020-08-20 01:00:00","RedStopLamp","NULL","NULL",14,"2020-08-20 01:00:00",83.8037054752931,1597885200,1597885500
FALSE,82.0047743851319,"ClassCode","ControllerId","ControllerName",1,"2020-08-20 01:30:00","bF",4,"DiagnosticId","DiagnosticName","DiagnosticSourceId","DiagnosticSourceName","UnitOfMeasure","UnitOfMeasureName","NULL","DissmissUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","FaultState","GeotabId",-86.1417681180681,39.4757587409089,"MalfunctionLamp",1597887000,1597887000,"OBD2DTC","ProtectWarningLamp","2020-08-20 01:30:00","RedStopLamp","NULL","NULL",29,"2020-08-20 01:30:00",83.7829255964607,1597887000,1597887300
FALSE,3.10933717992157,"ClassCode","ControllerId","ControllerName",1,"2020-08-20 02:00:00","bF",5,"DiagnosticId","DiagnosticName","DiagnosticSourceId","DiagnosticSourceName","UnitOfMeasure","UnitOfMeasureName","NULL","DissmissUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","FaultState","GeotabId",-86.1361413792878,39.4722961845668,"MalfunctionLamp",1597888800,1597888800,"OBD2DTC","ProtectWarningLamp","2020-08-20 02:00:00","RedStopLamp","NULL","NULL",41,"2020-08-20 02:00:00",70.7915565092117,1597888800,1597889100
FALSE,6.62048035301268,"ClassCode","ControllerId","ControllerName",1,"2020-08-20 02:30:00","bF",6,"DiagnosticId","DiagnosticName","DiagnosticSourceId","DiagnosticSourceName","UnitOfMeasure","UnitOfMeasureName","NULL","DissmissUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","FaultState","GeotabId",-86.1417523238069,39.4729225126788,"MalfunctionLamp",1597890600,1597890600,"OBD2DTC","ProtectWarningLamp","2020-08-20 02:30:00","RedStopLamp","NULL","NULL",60,"2020-08-20 02:30:00",71.8537067109719,1597890600,1597890900
FALSE,60.8062955550849,"ClassCode","ControllerId","ControllerName",1,"2020-08-20 03:00:00","bF",7,"DiagnosticId","DiagnosticName","DiagnosticSourceId","DiagnosticSourceName","UnitOfMeasure","UnitOfMeasureName","NULL","DissmissUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","FaultState","GeotabId",-86.1371520435123,39.4729591448231,"MalfunctionLamp",1597892400,1597892400,"OBD2DTC","ProtectWarningLamp","2020-08-20 03:00:00","RedStopLamp","NULL","NULL",55,"2020-08-20 03:00:00",82.8350541647524,1597892400,1597892700
FALSE,1.59223263617605,"ClassCode","ControllerId","ControllerName",1,"2020-08-20 03:30:00","bF",8,"DiagnosticId","DiagnosticName","DiagnosticSourceId","DiagnosticSourceName","UnitOfMeasure","UnitOfMeasureName","NULL","DissmissUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","FaultState","GeotabId",-86.1411767727774,39.4752940080927,"MalfunctionLamp",1597894200,1597894200,"OBD2DTC","ProtectWarningLamp","2020-08-20 03:30:00","RedStopLamp","NULL","NULL",57,"2020-08-20 03:30:00",78.8273640628904,1597894200,1597894500
FALSE,76.4387676725164,"ClassCode","ControllerId","ControllerName",1,"2020-08-20 04:00:00","bF",9,"DiagnosticId","DiagnosticName","DiagnosticSourceId","DiagnosticSourceName","UnitOfMeasure","UnitOfMeasureName","NULL","DissmissUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","FaultState","GeotabId",-86.1370720663659,39.4745790885507,"MalfunctionLamp",1597896000,1597896000,"OBD2DTC","ProtectWarningLamp","2020-08-20 04:00:00","RedStopLamp","NULL","NULL",56,"2020-08-20 04:00:00",76.8924821959808,1597896000,1597896300
FALSE,50.7931222673506,"ClassCode","ControllerId","ControllerName",1,"2020-08-20 04:30:00","bF",10,"DiagnosticId","DiagnosticName","DiagnosticSourceId","DiagnosticSourceName","UnitOfMeasure","UnitOfMeasureName","NULL","DissmissUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","FaultState","GeotabId",-86.1402821558419,39.4749003096101,"MalfunctionLamp",1597897800,1597897800,"OBD2DTC","ProtectWarningLamp","2020-08-20 04:30:00","RedStopLamp","NULL","NULL",60,"2020-08-20 04:30:00",74.3129252269864,1597897800,1597898100
FALSE,80.291982088238,"ClassCode","ControllerId","ControllerName",1,"2020-08-20 05:00:00","bF",11,"DiagnosticId","DiagnosticName","DiagnosticSourceId","DiagnosticSourceName","UnitOfMeasure","UnitOfMeasureName","NULL","DissmissUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","FaultState","GeotabId",-86.1351490373603,39.472541984216,"MalfunctionLamp",1597899600,1597899600,"OBD2DTC","ProtectWarningLamp","2020-08-20 05:00:00","RedStopLamp","NULL","NULL",48,"2020-08-20 05:00:00",84.5449894480407,1597899600,1597899900
FALSE,57.8111222945154,"ClassCode","ControllerId","ControllerName",1,"2020-08-20 05:30:00","bF",12,"DiagnosticId","DiagnosticName","DiagnosticSourceId","DiagnosticSourceName","UnitOfMeasure","UnitOfMeasureName","NULL","DissmissUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","FaultState","GeotabId",-86.1388823104243,39.4754775733187,"MalfunctionLamp",1597901400,1597901400,"OBD2DTC","ProtectWarningLamp","2020-08-20 05:30:00","RedStopLamp","NULL","NULL",13,"2020-08-20 05:30:00",71.7108461633325,1597901400,1597901700
FALSE,58.3153698593378,"ClassCode","ControllerId","ControllerName",1,"2020-08-20 06:00:00","bF",13,"DiagnosticId","DiagnosticName","DiagnosticSourceId","DiagnosticSourceName","UnitOfMeasure","UnitOfMeasureName","NULL","DissmissUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","FaultState","GeotabId",-86.1356157425343,39.4743438628699,"MalfunctionLamp",1597903200,1597903200,"OBD2DTC","ProtectWarningLamp","2020-08-20 06:00:00","RedStopLamp","NULL","NULL",13,"2020-08-20 06:00:00",80.6527580274269,1597903200,1597903500
FALSE,59.971119929105,"ClassCode","ControllerId","ControllerName",1,"2020-08-20 06:30:00","bF",14,"DiagnosticId","DiagnosticName","DiagnosticSourceId","DiagnosticSourceName","UnitOfMeasure","UnitOfMeasureName","NULL","DissmissUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","FaultState","GeotabId",-86.1350560768269,39.4784474302083,"MalfunctionLamp",1597905000,1597905000,"OBD2DTC","ProtectWarningLamp","2020-08-20 06:30:00","RedStopLamp","NULL","NULL",25,"2020-08-20 06:30:00",75.1119507057592,1597905000,1597905300
